,User ID,Perfume Name,Sentiment
607,47837.0,Encre Noire,1.0
608,48099.0,Encre Noire,1.0
609,55661.0,Encre Noire,-1.0
610,29790.0,Encre Noire,-1.0
614,47355.0,Encre Noire,-1.0
615,35537.0,Encre Noire,1.0
616,36280.0,Encre Noire,-1.0
617,55962.0,Encre Noire,-1.0
618,44186.0,Encre Noire,1.0
620,45351.0,Encre Noire,1.0
621,45486.0,Encre Noire,1.0
622,43505.0,Encre Noire,1.0
623,43160.0,Encre Noire,1.0
624,17473.0,Encre Noire,-1.0
625,1482.0,Encre Noire,-1.0
626,33829.0,Encre Noire,-1.0
627,29617.0,Encre Noire,-1.0
628,39627.0,Encre Noire,-1.0
630,47108.0,Encre Noire,1.0
631,28755.0,Encre Noire,1.0
632,39989.0,Encre Noire,1.0
633,38838.0,Encre Noire,1.0
634,29869.0,Encre Noire,1.0
635,32546.0,Encre Noire,1.0
636,30446.0,Encre Noire,1.0
637,35833.0,Encre Noire,-1.0
638,32826.0,Encre Noire,-1.0
639,37749.0,Encre Noire,1.0
640,36972.0,Encre Noire,-1.0
641,37392.0,Encre Noire,1.0
642,36766.0,Encre Noire,1.0
643,33923.0,Encre Noire,-1.0
645,29603.0,Encre Noire,1.0
647,34828.0,Encre Noire,1.0
648,29657.0,Encre Noire,1.0
650,17746.0,Encre Noire,1.0
651,35174.0,Encre Noire,1.0
652,33844.0,Encre Noire,1.0
654,22532.0,Encre Noire,1.0
655,28562.0,Encre Noire,1.0
657,20607.0,Encre Noire,1.0
658,26818.0,Encre Noire,1.0
660,23805.0,Encre Noire,-1.0
661,26888.0,Encre Noire,1.0
662,19399.0,Encre Noire,-1.0
663,21527.0,Encre Noire,1.0
665,24211.0,Encre Noire,1.0
666,4371.0,Encre Noire,1.0
667,25522.0,Encre Noire,1.0
668,21827.0,Encre Noire,1.0
669,23987.0,Encre Noire,1.0
670,24089.0,Encre Noire,1.0
671,23968.0,Encre Noire,1.0
672,12207.0,Encre Noire,1.0
673,3965.0,Encre Noire,1.0
674,21921.0,Encre Noire,1.0
675,21433.0,Encre Noire,1.0
676,15966.0,Encre Noire,-1.0
678,22755.0,Encre Noire,1.0
679,12779.0,Encre Noire,1.0
681,22002.0,Encre Noire,1.0
682,22530.0,Encre Noire,1.0
683,21076.0,Encre Noire,1.0
684,18054.0,Encre Noire,1.0
686,20066.0,Encre Noire,1.0
687,21534.0,Encre Noire,1.0
688,22261.0,Encre Noire,1.0
689,5860.0,Encre Noire,1.0
690,20468.0,Encre Noire,-1.0
692,21695.0,Encre Noire,1.0
693,18182.0,Encre Noire,1.0
695,14164.0,Encre Noire,1.0
697,21412.0,Encre Noire,-1.0
698,20818.0,Encre Noire,1.0
700,21014.0,Encre Noire,1.0
701,19961.0,Encre Noire,1.0
703,11668.0,Encre Noire,-1.0
704,20517.0,Encre Noire,1.0
705,21287.0,Encre Noire,1.0
706,3788.0,Encre Noire,-1.0
708,21330.0,Encre Noire,1.0
709,20756.0,Encre Noire,-1.0
710,20222.0,Encre Noire,-1.0
711,11733.0,Encre Noire,1.0
712,20367.0,Encre Noire,-1.0
713,10747.0,Encre Noire,-1.0
715,20576.0,Encre Noire,-1.0
717,20979.0,Encre Noire,1.0
719,20851.0,Encre Noire,1.0
720,7034.0,Encre Noire,1.0
721,19206.0,Encre Noire,1.0
722,19820.0,Encre Noire,1.0
723,12463.0,Encre Noire,1.0
724,20524.0,Encre Noire,1.0
726,1852.0,Encre Noire,-1.0
727,20131.0,Encre Noire,-1.0
728,20047.0,Encre Noire,1.0
729,19643.0,Encre Noire,1.0
730,10556.0,Encre Noire,1.0
731,19396.0,Encre Noire,1.0
732,18320.0,Encre Noire,-1.0
733,18248.0,Encre Noire,-1.0
